"Avg power","CPU freq","Memory freq"
2.730539,1000,200
2.722739,1000,300
2.732934,1000,400
2.745667,1000,500
2.784171,1100,200
2.779541,1100,300
2.790997,1100,400
2.802367,1100,500
2.839177,1200,200
2.836211,1200,300
2.848340,1200,400
2.863337,1200,500
3.154674,1300,200
3.141638,1300,300
3.163678,1300,400
3.179839,1300,500
3.234178,1400,200
3.208259,1400,300
3.230369,1400,400
2.509774,600,200
2.487742,600,300
2.497274,600,400
2.508783,600,500
2.560751,700,200
2.546119,700,300
2.554082,700,400
2.564610,700,500
2.626683,800,200
2.611929,800,300
2.621385,800,400
2.632228,800,500
2.681924,900,200
2.663326,900,300
2.670749,900,400
2.685180,900,500
3.254536,1400,500
