"Avg power","CPU freq","Memory freq"
2.650588,1000,200
2.660970,1000,300
2.680603,1000,400
2.697192,1000,500
2.703844,1100,200
2.721040,1100,300
2.738263,1100,400
2.754246,1100,500
2.754868,1200,200
2.770659,1200,300
2.796681,1200,400
2.811151,1200,500
3.027391,1300,200
3.069188,1300,300
3.115515,1300,400
3.136564,1300,500
2.442286,1400,200
3.131689,1400,300
3.187780,1400,400
3.203395,1400,500
2.442287,600,200
2.443986,600,300
2.460027,600,400
2.476943,600,500
2.507864,700,200
2.509903,700,300
2.519585,700,400
2.528355,700,500
2.551135,800,200
2.558682,800,300
2.574319,800,400
2.590266,800,500
2.603774,900,200
2.611110,900,300
2.629257,900,400
2.641487,900,500
