"Avg power","CPU freq","Memory freq"
2.513796,600,200
2.734394,1000,200
2.514445,600,300
2.751235,1000,300
2.528311,600,400
2.770257,1000,400
2.530432,600,500
2.776400,1000,500
2.564453,700,200
2.787168,1100,200
2.570966,700,300
2.806451,1100,300
2.591438,700,400
2.828206,1100,400
2.594629,700,500
2.851741,1100,500
2.632307,800,200
2.849523,1200,200
2.638112,800,300
2.866827,1200,300
2.656271,800,400
2.883399,1200,400
2.659234,800,500
2.896064,1200,500
2.676872,900,200
3.170172,1300,200
2.688152,900,300
3.188092,1300,300
2.705611,900,400
3.216509,1300,400
2.712882,900,500
3.230151,1300,500
3.229271,1400,200
3.293051,1400,400
3.307405,1400,500
3.255221,1400,300
